Bath,Bed,Fireplaces,LotArea,SalePrice,SaleType,Sq. Ft.,Stories,YearBuilt
3.5,3.0,0.0,2566.0,208500.0,WD,8450,2Story,2003.0
2.5,3.0,1.0,2524.0,181500.0,WD,9600,1Story,1976.0
3.5,3.0,1.0,2706.0,223500.0,WD,11250,2Story,2001.0
2.0,3.0,1.0,2473.0,140000.0,WD,9550,2Story,1915.0
3.5,4.0,1.0,3343.0,250000.0,WD,14260,2Story,2000.0
2.5,1.0,0.0,2158.0,143000.0,WD,14115,1.5Fin,1993.0
3.0,3.0,1.0,3380.0,307000.0,WD,10084,1Story,2004.0
3.5,3.0,2.0,3197.0,200000.0,WD,10382,2Story,1973.0
2.0,2.0,2.0,2726.0,129900.0,WD,6120,1.5Fin,1931.0
2.0,2.0,2.0,2068.0,118000.0,WD,7420,1.5Unf,1939.0
2.0,3.0,0.0,2080.0,129500.0,WD,11200,1Story,1965.0
4.0,4.0,2.0,3499.0,345000.0,New,11924,2Story,2005.0
2.0,2.0,0.0,1824.0,144000.0,WD,12968,1Story,1962.0
2.0,3.0,1.0,2988.0,279500.0,New,10652,1Story,2006.0
2.5,2.0,1.0,2506.0,157000.0,WD,10920,1Story,1960.0
1.0,2.0,0.0,1686.0,132000.0,WD,6120,1.5Unf,1929.0
2.0,2.0,1.0,2008.0,149000.0,WD,11241,1Story,1970.0
2.0,2.0,0.0,1296.0,90000.0,WD,10791,1Story,1967.0
2.5,3.0,0.0,2228.0,159000.0,WD,13695,1Story,2004.0
1.0,3.0,0.0,2368.0,139000.0,COD,7560,1Story,1958.0
3.5,4.0,1.0,3534.0,325300.0,New,14215,2Story,2005.0
1.0,3.0,1.0,1745.0,139400.0,WD,7449,1.5Unf,1930.0
2.0,3.0,1.0,3572.0,230000.0,WD,9742,1Story,2002.0
2.0,3.0,1.0,2100.0,129900.0,WD,4224,1Story,1976.0
2.0,3.0,1.0,2120.0,154000.0,WD,8246,1Story,1968.0
2.0,3.0,1.0,3166.0,256300.0,WD,14230,1Story,2007.0
1.5,3.0,0.0,1800.0,134800.0,WD,7200,1Story,1951.0
3.0,3.0,1.0,3408.0,306000.0,WD,11478,1Story,2007.0
2.0,2.0,2.0,3084.0,207500.0,WD,16321,1Story,1957.0
1.0,1.0,0.0,1040.0,68500.0,WD,6324,1Story,1927.0
1.0,3.0,0.0,1966.0,40000.0,WD,8500,2Story,1920.0
1.5,3.0,0.0,2456.0,149350.0,WD,8544,1Story,1966.0
